,index,alpha,n. in session,datetime,website title,kind,location (coordinates),query,presence at 5 km,presence at 10 km,presence at 20 km,location (name)
0,,0,0,17/07/19 02:06:14,Onoranze Funebri | Ofac a Spotorno | pompefunebriofac.it‎,ADS A,44.306276_8.481562,onoranze funebri,False,False,False,to be implemented
1,,0,1,17/07/19 02:06:14,Onoranze Funebri | Pompe Funebri Liguri | PompeFunebriLiguri.com‎,ADS A,44.306276_8.481562,onoranze funebri,False,False,False,to be implemented
2,,0,2,17/07/19 02:06:14,Onoranze Funebri | Rosario Reale | rosariorealeonoranzefunebri.com‎,ADS A,44.306276_8.481562,onoranze funebri,True,True,True,to be implemented
3,,0,0,17/07/19 02:08:15,Onoranze Funebri | Ofac a Spotorno | pompefunebriofac.it‎,ADS A,44.306276_8.481562,onoranze funebri,False,False,False,to be implemented
4,,0,1,17/07/19 02:08:15,Onoranze Funebri | Pompe Funebri Liguri | PompeFunebriLiguri.com‎,ADS A,44.306276_8.481562,onoranze funebri,False,False,False,to be implemented
5,,0,2,17/07/19 02:08:15,Onoranze Funebri | Rosario Reale | rosariorealeonoranzefunebri.com‎,ADS A,44.306276_8.481562,onoranze funebri,True,True,True,to be implemented
6,,0,0,17/07/19 02:08:15,Onoranze funebri Parodi | Funerale in Valbormida‎,ADS B,44.306276_8.481562,onoranze funebri,True,True,No ADS,to be implemented
7,,0,0,17/07/19 02:10:24,Onoranze Funebri | Ofac a Spotorno | pompefunebriofac.it‎,ADS A,44.306276_8.481562,onoranze funebri,False,False,False,to be implemented
8,,0,1,17/07/19 02:10:24,Funerali Completi | Pompe Funebri Liguri | PompeFunebriLiguri.com‎,ADS A,44.306276_8.481562,onoranze funebri,False,False,False,to be implemented
9,,0,2,17/07/19 02:10:24,Onoranze Funebri | Rosario Reale | rosariorealeonoranzefunebri.com‎,ADS A,44.306276_8.481562,onoranze funebri,True,True,True,to be implemented
10,,0,0,17/07/19 02:10:24,Onoranze funebri Parodi | Funerale in Valbormida‎,ADS B,44.306276_8.481562,onoranze funebri,True,True,No ADS,to be implemented
11,,0,0,17/07/19 02:12:32,Onoranze Funebri | Ofac a Spotorno | pompefunebriofac.it‎,ADS A,44.306276_8.481562,onoranze funebri,False,False,False,to be implemented
12,,0,1,17/07/19 02:12:32,Onoranze Funebri | Rosario Reale | rosariorealeonoranzefunebri.com‎,ADS A,44.306276_8.481562,onoranze funebri,False,False,False,to be implemented
13,,0,2,17/07/19 02:12:32,Funerali Completi | Pompe Funebri Liguri | PompeFunebriLiguri.com‎,ADS A,44.306276_8.481562,onoranze funebri,True,True,True,to be implemented
14,,0,0,17/07/19 02:12:32,Onoranze funebri Parodi | Funerale in Valbormida‎,ADS B,44.306276_8.481562,onoranze funebri,True,True,No ADS,to be implemented
15,,0,0,17/07/19 02:14:41,Onoranze Funebri | Ofac a Spotorno | pompefunebriofac.it‎,ADS A,44.306276_8.481562,onoranze funebri,,,,to be implemented
16,,0,1,17/07/19 02:14:41,Funerali Completi | Pompe Funebri Liguri | PompeFunebriLiguri.com‎,ADS A,44.306276_8.481562,onoranze funebri,,,,to be implemented
17,,0,2,17/07/19 02:14:41,Onoranze Funebri | Rosario Reale | rosariorealeonoranzefunebri.com‎,ADS A,44.306276_8.481562,onoranze funebri,,,,to be implemented
18,,0,0,17/07/19 02:35:02,Onoranze Funebri | Ofac a Spotorno | pompefunebriofac.it‎,ADS A,44.306276_8.481562,onoranze funebri,False,False,False,to be implemented
19,,0,1,17/07/19 02:35:02,Onoranze Funebri | Pompe Funebri Liguri | PompeFunebriLiguri.com‎,ADS A,44.306276_8.481562,onoranze funebri,False,False,False,to be implemented
20,,0,2,17/07/19 02:35:02,Onoranze Funebri | Rosario Reale | rosariorealeonoranzefunebri.com‎,ADS A,44.306276_8.481562,onoranze funebri,False,False,False,to be implemented
21,,0,3,17/07/19 02:35:02,Onoranze funebri valbormida | Reperibilità 24 ore su 24‎,ADS A,44.306276_8.481562,onoranze funebri,True,True,True,to be implemented
22,,0,0,17/07/19 02:35:02,Onoranze Funebri | Del Buono‎,ADS B,44.306276_8.481562,onoranze funebri,True,True,True,to be implemented
23,,0,0,17/07/19 02:37:13,Onoranze Funebri | Ofac a Spotorno | pompefunebriofac.it‎,ADS A,44.306276_8.481562,onoranze funebri,False,False,False,to be implemented
24,,0,1,17/07/19 02:37:13,Onoranze Funebri | Pompe Funebri Liguri | PompeFunebriLiguri.com‎,ADS A,44.306276_8.481562,onoranze funebri,False,False,False,to be implemented
25,,0,2,17/07/19 02:37:13,Onoranze Funebri | Rosario Reale | rosariorealeonoranzefunebri.com‎,ADS A,44.306276_8.481562,onoranze funebri,True,True,True,to be implemented
26,,0,0,17/07/19 02:37:13,Onoranze funebri valbormida | Reperibilità 24 ore su 24‎,ADS B,44.306276_8.481562,onoranze funebri,False,False,False,to be implemented
27,,0,1,17/07/19 02:37:13,Onoranze Funebri | Del Buono‎,ADS B,44.306276_8.481562,onoranze funebri,True,True,True,to be implemented
28,,0,0,17/07/19 02:40:39,Onoranze Funebri | Ofac a Spotorno | pompefunebriofac.it‎,ADS A,44.306276_8.481562,onoranze funebri,False,False,False,to be implemented
29,,0,1,17/07/19 02:40:39,Onoranze Funebri | Pompe Funebri Liguri | PompeFunebriLiguri.com‎,ADS A,44.306276_8.481562,onoranze funebri,False,False,False,to be implemented
30,,0,2,17/07/19 02:40:39,Onoranze Funebri Napoli | Reperibilità 24 ore su 24‎,ADS A,44.306276_8.481562,onoranze funebri,True,True,True,to be implemented
31,,0,0,17/07/19 02:40:39,Onoranze funebri valbormida | Reperibilità 24 ore su 24‎,ADS B,44.306276_8.481562,onoranze funebri,False,False,False,to be implemented
